Training neural network with 2000000 games
Training neural network against 2000000 random games...
Games: 10000, Wins: 8243 (82.4%), Losses: 708 (7.1%), Ties: 1049 (10.5%)
Games: 20000, Wins: 8671 (86.7%), Losses: 0 (0.0%), Ties: 1329 (13.3%)
Games: 30000, Wins: 8683 (86.8%), Losses: 0 (0.0%), Ties: 1317 (13.2%)
Games: 40000, Wins: 8645 (86.4%), Losses: 0 (0.0%), Ties: 1355 (13.5%)
Games: 50000, Wins: 8696 (87.0%), Losses: 0 (0.0%), Ties: 1304 (13.0%)
Games: 60000, Wins: 8631 (86.3%), Losses: 0 (0.0%), Ties: 1369 (13.7%)
Games: 70000, Wins: 8656 (86.6%), Losses: 0 (0.0%), Ties: 1344 (13.4%)
Games: 80000, Wins: 8656 (86.6%), Losses: 0 (0.0%), Ties: 1344 (13.4%)
Games: 90000, Wins: 8698 (87.0%), Losses: 0 (0.0%), Ties: 1302 (13.0%)
Games: 100000, Wins: 8653 (86.5%), Losses: 0 (0.0%), Ties: 1347 (13.5%)
Games: 110000, Wins: 8690 (86.9%), Losses: 0 (0.0%), Ties: 1310 (13.1%)
Games: 120000, Wins: 8716 (87.2%), Losses: 0 (0.0%), Ties: 1284 (12.8%)
Games: 130000, Wins: 8721 (87.2%), Losses: 0 (0.0%), Ties: 1279 (12.8%)
Games: 140000, Wins: 8664 (86.6%), Losses: 0 (0.0%), Ties: 1336 (13.4%)
Games: 150000, Wins: 8712 (87.1%), Losses: 0 (0.0%), Ties: 1288 (12.9%)
Games: 160000, Wins: 8692 (86.9%), Losses: 0 (0.0%), Ties: 1308 (13.1%)
Games: 170000, Wins: 8574 (85.7%), Losses: 0 (0.0%), Ties: 1426 (14.3%)
Games: 180000, Wins: 8629 (86.3%), Losses: 0 (0.0%), Ties: 1371 (13.7%)
Games: 190000, Wins: 8718 (87.2%), Losses: 0 (0.0%), Ties: 1282 (12.8%)
Games: 200000, Wins: 8629 (86.3%), Losses: 0 (0.0%), Ties: 1371 (13.7%)
Games: 210000, Wins: 8630 (86.3%), Losses: 0 (0.0%), Ties: 1370 (13.7%)
Games: 220000, Wins: 8657 (86.6%), Losses: 0 (0.0%), Ties: 1343 (13.4%)
Games: 230000, Wins: 8667 (86.7%), Losses: 0 (0.0%), Ties: 1333 (13.3%)
Games: 240000, Wins: 8603 (86.0%), Losses: 0 (0.0%), Ties: 1397 (14.0%)
Games: 250000, Wins: 8672 (86.7%), Losses: 0 (0.0%), Ties: 1328 (13.3%)
Games: 260000, Wins: 8719 (87.2%), Losses: 0 (0.0%), Ties: 1281 (12.8%)
Games: 270000, Wins: 8665 (86.7%), Losses: 0 (0.0%), Ties: 1335 (13.3%)
Games: 280000, Wins: 8646 (86.5%), Losses: 0 (0.0%), Ties: 1354 (13.5%)
Games: 290000, Wins: 8639 (86.4%), Losses: 0 (0.0%), Ties: 1361 (13.6%)
Games: 300000, Wins: 8692 (86.9%), Losses: 0 (0.0%), Ties: 1308 (13.1%)
Games: 310000, Wins: 8623 (86.2%), Losses: 0 (0.0%), Ties: 1377 (13.8%)
Games: 320000, Wins: 8636 (86.4%), Losses: 0 (0.0%), Ties: 1364 (13.6%)
Games: 330000, Wins: 8645 (86.4%), Losses: 0 (0.0%), Ties: 1355 (13.5%)
Games: 340000, Wins: 8657 (86.6%), Losses: 0 (0.0%), Ties: 1343 (13.4%)
Games: 350000, Wins: 8664 (86.6%), Losses: 0 (0.0%), Ties: 1336 (13.4%)
Games: 360000, Wins: 8691 (86.9%), Losses: 0 (0.0%), Ties: 1309 (13.1%)
Games: 370000, Wins: 8687 (86.9%), Losses: 0 (0.0%), Ties: 1313 (13.1%)
Games: 380000, Wins: 8669 (86.7%), Losses: 0 (0.0%), Ties: 1331 (13.3%)
Games: 390000, Wins: 8657 (86.6%), Losses: 0 (0.0%), Ties: 1343 (13.4%)
Games: 400000, Wins: 8678 (86.8%), Losses: 0 (0.0%), Ties: 1322 (13.2%)
Games: 410000, Wins: 8670 (86.7%), Losses: 0 (0.0%), Ties: 1330 (13.3%)
Games: 420000, Wins: 8762 (87.6%), Losses: 0 (0.0%), Ties: 1238 (12.4%)
Games: 430000, Wins: 8639 (86.4%), Losses: 0 (0.0%), Ties: 1361 (13.6%)
Games: 440000, Wins: 8584 (85.8%), Losses: 0 (0.0%), Ties: 1416 (14.2%)
Games: 450000, Wins: 8690 (86.9%), Losses: 0 (0.0%), Ties: 1310 (13.1%)
Games: 460000, Wins: 8642 (86.4%), Losses: 0 (0.0%), Ties: 1358 (13.6%)
Games: 470000, Wins: 8652 (86.5%), Losses: 0 (0.0%), Ties: 1348 (13.5%)
Games: 480000, Wins: 8636 (86.4%), Losses: 0 (0.0%), Ties: 1364 (13.6%)
Games: 490000, Wins: 8702 (87.0%), Losses: 0 (0.0%), Ties: 1298 (13.0%)
Games: 500000, Wins: 8688 (86.9%), Losses: 0 (0.0%), Ties: 1312 (13.1%)
Games: 510000, Wins: 8665 (86.7%), Losses: 0 (0.0%), Ties: 1335 (13.3%)
Games: 520000, Wins: 8667 (86.7%), Losses: 0 (0.0%), Ties: 1333 (13.3%)
Games: 530000, Wins: 8694 (86.9%), Losses: 0 (0.0%), Ties: 1306 (13.1%)
Games: 540000, Wins: 8659 (86.6%), Losses: 0 (0.0%), Ties: 1341 (13.4%)
Games: 550000, Wins: 8671 (86.7%), Losses: 0 (0.0%), Ties: 1329 (13.3%)
Games: 560000, Wins: 8658 (86.6%), Losses: 0 (0.0%), Ties: 1342 (13.4%)
Games: 570000, Wins: 8653 (86.5%), Losses: 0 (0.0%), Ties: 1347 (13.5%)
Games: 580000, Wins: 8699 (87.0%), Losses: 0 (0.0%), Ties: 1301 (13.0%)
Games: 590000, Wins: 8709 (87.1%), Losses: 0 (0.0%), Ties: 1291 (12.9%)
